시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
21:43:59,0.756,457991,457979,1,1,37.496513,126.957466,0.055,0.0,0.041,1,0.0,"-2.720,3.112,8.777","-1.511,-0.321,-1.244","-34.950,59.700,35.550",0,0.0,9.70,1.98,0.5740,999.00,0.000,0,54645,4346,8,1.09,37.496512,126.957469,1808,0,10,0,-82,-80.9,6503,75,3437
21:43:59,0.824,458096,458084,1,1,37.496513,126.957466,0.055,0.0,0.041,1,0.0,"-2.691,3.175,8.825","-0.244,0.015,-0.168","-33.900,60.150,37.350",0,0.0,9.76,0.30,0.5788,999.00,0.000,0,54658,4347,8,1.09,37.496512,126.957469,1808,0,10,0,-83,-81.3,6504,1,3438
21:43:59,0.902,458200,458188,1,1,37.496513,126.957466,0.041,0.0,0.015,1,0.0,"-2.567,3.290,8.897","-1.595,-0.931,-0.145","-34.200,60.450,36.000",0,0.0,9.83,1.85,0.5927,999.00,0.000,0,54671,4348,8,1.09,37.496512,126.957469,1809,0,10,0,-83,-81.3,6504,105,3438
21:44:01,2.949,458305,458293,1,1,37.496513,126.957466,0.041,0.0,0.015,1,0.0,"-2.643,3.079,8.887","0.748,-2.695,-0.168","-33.150,59.250,36.600",0,0.0,9.77,2.80,0.5800,999.00,0.000,0,54684,4349,8,1.09,37.496512,126.957469,1809,0,10,0,-84,-81.9,6505,87,3438
21:44:02,4.426,460604,460592,1,1,37.496510,126.957466,0.021,0.0,0.026,1,0.0,"-2.380,3.658,10.353","-18.977,8.550,-3.626","-33.750,60.300,36.150",0,0.0,11.23,21.13,0.6270,999.00,0.000,0,54968,4371,8,1.09,37.496509,126.957468,1821,0,10,0,-92,-85.8,6524,129,3449
21:44:02,4.474,462384,462372,0,1,37.496510,126.957466,0.035,0.0,0.046,1,0.0,"-2.701,3.218,8.859","-1.122,-0.962,-1.145","-34.800,61.050,35.400",0,0.0,9.80,1.87,0.5799,999.00,0.000,0,55189,4388,8,1.09,37.496507,126.957466,1829,0,10,0,-83,-83.0,6536,228,3455
21:44:03,5.410,462489,462477,0,1,37.496506,126.957466,0.028,0.0,0.015,1,0.0,"-2.792,3.232,8.854","-1.206,0.534,0.489","-34.050,60.300,35.700",0,0.0,9.83,1.41,0.5734,999.00,0.000,0,55202,4389,8,1.09,37.496507,126.957467,1830,0,10,0,-83,-83.0,6536,333,3455
21:44:04,6.258,463638,463626,0,1,37.496506,126.957466,0.027,0.0,0.026,1,0.0,"-2.624,3.122,8.940","-1.107,-2.870,0.389","-34.050,60.300,36.150",0,0.0,9.83,3.10,0.5834,999.00,0.000,0,55343,4400,8,1.09,37.496505,126.957466,1836,0,10,0,-83,-79.2,6552,189,3463
21:44:04,6.373,464577,464565,0,1,37.496506,126.957466,0.034,0.0,0.041,1,0.0,"-2.739,3.055,8.748","-0.771,0.244,1.771","-34.950,59.250,36.300",0,0.0,9.66,1.95,0.5703,999.00,0.000,0,55458,4409,9,1.09,37.496505,126.957466,1840,0,10,0,-77,-77.0,6562,187,3470
21:44:05,6.706,464682,464670,0,1,37.496506,126.957466,0.054,0.0,0.093,1,0.0,"-2.667,3.132,8.897","-0.947,-0.962,1.786","-34.650,60.450,36.600",0,0.0,9.80,2.24,0.5800,999.00,0.000,0,55471,4410,9,1.09,37.496504,126.957466,1841,0,10,0,-79,-77.4,6565,2,3471
21:44:05,6.789,464993,464981,1,1,37.496502,126.957466,0.106,0.0,0.180,1,0.0,"-3.184,3.917,12.139","-1.733,2.847,-1.260","-33.000,60.600,35.400",0,0.0,13.15,3.56,0.5502,999.00,0.000,0,55507,4413,9,1.09,37.496503,126.957466,1843,0,10,0,-74,-74.8,6571,1,3474
21:44:05,7.168,465096,465084,1,1,37.496502,126.957466,0.106,0.0,0.180,1,0.0,"-0.129,6.776,19.613","-0.580,9.267,-0.595","-33.900,61.200,37.350",0,0.0,20.75,9.30,0.2793,999.00,0.000,0,55519,4414,9,1.09,37.496503,126.957466,1843,0,10,0,-78,-75.5,6573,8,3475
21:44:05,7.303,465506,465494,1,1,37.496502,126.957466,0.198,0.0,0.237,1,0.0,"-2.792,3.031,8.614","-0.313,-2.992,-0.168","-34.950,59.700,35.250",0,0.0,9.55,3.01,0.5637,999.00,0.000,0,55567,4418,9,1.09,37.496500,126.957466,1845,0,10,0,-77,-74.8,6581,3,3479
21:44:05,7.410,465608,465596,1,1,37.496502,126.957466,0.192,0.0,0.180,1,0.0,"-2.816,3.089,8.844","-0.298,2.962,1.435","-34.200,60.150,36.600",0,0.0,9.78,3.30,0.5667,999.00,0.000,0,55579,4419,9,1.09,37.496500,126.957466,1846,0,10,0,-81,-76.1,6582,66,3480
21:44:05,7.523,465713,465701,1,1,37.496502,126.957466,0.192,0.0,0.180,1,0.0,"-2.715,3.050,8.724","-0.939,0.824,-2.626","-35.400,58.950,36.300",0,0.0,9.63,2.91,0.5717,999.00,0.000,0,55592,4420,9,1.09,37.496500,126.957466,1846,0,10,0,-71,-75.0,6585,7,3481
21:44:06,7.826,465816,465804,1,1,37.496502,126.957466,0.155,0.0,0.087,1,0.0,"-2.705,3.117,8.882","-0.031,-0.809,0.443","-34.050,58.800,35.400",0,0.0,9.79,0.92,0.5765,999.00,0.000,0,55604,4421,9,1.09,37.496499,126.957466,1847,0,10,0,-72,-74.4,6586,63,3482
21:44:06,8.026,466129,466117,1,1,37.496498,126.957466,0.157,0.0,0.159,1,0.0,"-2.753,3.146,8.801","-0.595,1.000,0.954","-36.300,59.850,35.400",0,0.0,9.74,1.50,0.5729,999.00,0.000,0,55642,4424,9,1.09,37.496498,126.957465,1848,0,10,0,-80,-77.6,6591,6,3484
21:44:06,8.086,466335,466323,1,1,37.496498,126.957466,0.134,0.0,0.093,1,0.0,"-2.658,3.184,8.782","1.099,-1.153,0.611","-34.650,59.250,36.600",0,0.0,9.71,1.71,0.5812,999.00,0.000,0,55666,4426,9,1.09,37.496498,126.957466,1849,0,10,0,-87,-79.5,6592,106,3484
21:44:06,8.438,466440,466428,1,1,37.496498,126.957466,0.112,0.0,0.072,1,0.0,"-2.835,3.179,8.734","-1.496,-0.557,1.099","-35.550,59.550,36.150",0,0.0,9.72,1.94,0.5669,999.00,0.000,0,55679,4427,9,0.91,37.496498,126.957466,1850,0,10,0,-76,-78.5,6594,61,3485
21:44:06,8.523,466754,466742,1,1,37.496498,126.957466,0.095,0.0,0.062,1,0.0,"-2.682,3.079,8.734","-1.458,-0.328,-0.740","-34.650,58.950,37.050",0,0.0,9.64,1.67,0.5753,999.00,0.000,0,55718,4430,9,0.91,37.496498,126.957466,1851,0,10,0,-80,-78.6,6597,69,3487
21:44:07,8.966,466859,466847,1,1,37.496498,126.957466,0.072,0.0,0.031,1,0.0,"-2.729,3.045,8.897","-0.756,0.504,-0.221","-34.050,60.300,35.700",0,0.0,9.79,0.93,0.5725,999.00,0.000,0,55731,4431,9,0.91,37.496498,126.957466,1852,0,10,0,-75,-78.0,6600,2,3488
21:44:07,9.152,467274,467262,1,1,37.496498,126.957466,0.067,0.0,0.072,1,0.0,"-5.301,-1.949,-3.060","22.092,-16.382,-0.435","-33.000,63.300,37.200",0,0.0,6.42,27.51,0.6351,999.00,0.000,0,55781,4435,9,0.91,37.496497,126.957465,1854,0,10,0,-79,-78.9,6605,60,3491
21:44:07,9.161,467378,467366,1,1,37.496498,126.957466,0.067,0.0,0.072,1,0.0,"-2.523,2.682,7.015","-12.275,8.695,2.450","-34.800,59.100,35.700",0,0.0,7.92,15.24,0.5486,999.00,0.000,0,55794,4436,9,0.91,37.496497,126.957465,1854,0,10,0,-76,-78.0,6607,1,3492
21:44:07,9.225,467481,467469,1,1,37.496498,126.957466,0.071,0.0,0.077,1,0.0,"-2.758,3.108,8.811","-1.290,-0.427,-0.076","-33.150,59.250,36.300",0,0.0,9.74,1.36,0.5713,999.00,0.000,0,55806,4437,9,0.91,37.496497,126.957465,1855,0,10,0,-80,-78.4,6608,50,3493
21:44:07,9.331,467585,467573,1,1,37.496498,126.957466,0.071,0.0,0.077,1,0.0,"-2.897,3.304,8.849","-1.664,-0.748,1.336","-34.500,59.550,34.650",0,0.0,9.88,2.26,0.5677,999.00,0.000,0,55819,4438,9,0.91,37.496497,126.957465,1855,0,10,0,-80,-78.4,6608,154,3493
21:44:07,9.470,467690,467678,1,1,37.496498,126.957466,0.059,0.0,0.036,1,0.0,"-2.744,3.132,8.796","0.046,-0.641,-1.740","-36.450,60.150,36.300",0,0.0,9.73,1.86,0.5731,999.00,0.000,0,55832,4439,9,0.91,37.496497,126.957465,1856,0,10,0,-75,-76.3,6611,5,3494
21:44:07,9.526,467792,467780,1,1,37.496498,126.957466,0.053,0.0,0.041,1,0.0,"-2.725,3.194,8.854","0.115,0.489,2.679","-33.900,59.700,37.050",0,0.0,9.80,2.73,0.5773,999.00,0.000,0,55844,4440,9,0.91,37.496497,126.957465,1857,0,10,0,-73,-75.1,6613,1,3495
21:44:07,9.631,467895,467883,1,1,37.496498,126.957466,0.053,0.0,0.041,1,0.0,"-2.782,3.213,8.777","-2.053,0.779,0.382","-34.200,60.450,36.300",0,0.0,9.75,2.23,0.5726,999.00,0.000,0,55856,4441,9,0.91,37.496497,126.957465,1857,0,10,0,-74,-75.0,6615,5,3496
