시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
16:29:46,0.065,887750,887726,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.73,1.75,0.9996,6.18,2.341,37579,70986,0.000,1,191.4,"-0.16,0.46,9.72","1.2,-1.3,0.1","53.100,-81.450,9.750",0.05,0.17,97.08,388467,8485,8189,6,2.20,37.496475,126.954535,564,70,137,0,0.82,0.00,999.00,-121.6,0,0,3,0,-50,-49.6,8189,30,4,0.82,1,0,-8.82,-18.73,8189
16:29:46,0.137,887854,887830,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.70,1.47,0.9996,6.51,2.309,37579,70997,0.000,1,191.4,"-0.18,0.56,9.68","-1.5,-0.2,-0.0","50.550,-82.350,10.200",0.08,0.17,97.08,388467,8486,8190,6,2.20,37.496475,126.954535,564,70,137,0,0.82,0.00,999.00,-121.6,0,0,3,0,-50,-49.7,8190,30,4,0.82,1,0,-8.82,-18.73,8190
16:29:47,0.255,887947,887946,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.74,2.46,0.9995,6.22,2.334,37579,71008,0.000,1,191.4,"-0.14,0.59,9.72","-1.0,1.3,-1.9","51.750,-82.350,9.900",0.11,0.18,97.08,388467,8487,8191,6,2.20,37.496475,126.954535,565,70,137,0,0.83,0.00,999.00,-121.6,0,0,3,0,-50,-49.7,8191,22,4,0.83,1,0,-8.82,-18.73,8191
16:29:47,0.391,888053,888052,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.81,2.15,0.9997,4.55,2.357,37579,71021,0.000,1,191.4,"-0.21,0.48,9.79","-0.4,1.9,0.9","52.650,-82.650,8.250",0.07,0.18,97.08,388467,8488,8192,6,2.20,37.496475,126.954535,565,70,137,0,0.82,0.00,999.00,-121.6,0,0,3,0,-49,-49.6,8192,25,4,0.82,1,0,-8.82,-18.73,8192
16:29:47,0.482,888159,888158,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.83,2.78,0.9997,6.39,2.350,37579,71034,0.000,1,191.4,"-0.19,0.49,9.82","-0.5,-2.0,1.8","52.650,-82.200,10.050",0.10,0.19,97.08,388467,8489,8193,6,2.20,37.496475,126.954535,565,70,137,0,0.82,0.00,999.00,-121.6,0,0,3,0,-50,-49.7,8193,26,4,0.82,1,0,-8.82,-18.73,8193
16:29:47,0.602,888283,888259,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.71,1.82,0.9997,5.45,2.380,37579,71048,0.000,1,191.4,"-0.22,0.45,9.70","1.4,-1.1,0.4","52.200,-83.850,9.300",0.05,0.15,97.08,388467,8490,8194,6,2.20,37.496475,126.954535,565,70,137,0,0.81,0.00,999.00,-121.6,0,0,3,0,-49,-49.5,8194,25,4,0.81,1,0,-8.82,-18.73,8194
16:29:47,0.806,888375,888374,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.65,2.44,0.9997,6.31,2.338,37579,71059,0.000,1,191.4,"-0.21,0.55,9.63","-0.2,1.0,-2.2","52.800,-81.600,9.900",0.09,0.21,97.08,388467,8491,8195,6,2.20,37.496475,126.954535,565,70,137,0,0.81,0.00,999.00,-121.6,0,0,3,0,-49,-49.4,8195,33,4,0.81,1,0,-8.82,-18.73,8195
16:29:47,0.899,888583,888582,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.72,3.09,0.9996,6.53,2.384,37579,71083,0.000,1,191.4,"-0.18,0.47,9.71","2.1,1.5,-1.7","54.000,-82.350,10.200",0.02,0.22,97.08,388467,8493,8197,6,2.20,37.496475,126.954535,565,70,137,0,0.81,0.00,999.00,-121.6,0,0,3,0,-49,-49.4,8197,37,4,0.81,1,0,-8.82,-18.73,8197
16:29:47,1.032,888688,888687,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.66,3.47,0.9998,6.74,2.344,37579,71096,0.000,1,191.4,"-0.25,0.41,9.65","-0.3,0.8,-3.4","51.450,-82.950,10.500",0.13,0.14,97.08,388467,8494,8198,6,2.20,37.496475,126.954535,565,70,137,0,0.83,0.00,999.00,-121.6,0,0,3,0,-51,-49.7,8198,36,4,0.83,1,0,-8.82,-18.73,8198
16:29:47,1.098,888793,888792,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.67,1.84,1.0000,5.65,2.348,37579,71109,0.000,1,191.4,"-0.34,0.49,9.65","1.2,-1.2,-0.6","52.650,-82.200,9.300",0.16,0.17,97.08,388467,8495,8199,6,2.20,37.496475,126.954535,565,70,137,0,0.83,0.00,999.00,-122.0,0,0,3,0,-50,-49.8,8199,40,4,0.83,1,0,-8.82,-18.73,8199
16:29:48,1.233,888899,888898,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.77,2.91,0.9996,5.95,2.363,37579,71122,0.000,1,191.4,"-0.18,0.53,9.76","-0.8,-0.1,-2.8","51.900,-83.400,9.750",0.07,0.21,97.08,388467,8496,8200,6,2.20,37.496475,126.954535,565,70,137,0,0.84,0.00,999.00,-122.0,0,0,3,0,-50,-49.8,8200,44,4,0.84,1,0,-8.82,-18.73,8200
16:29:48,1.425,888999,888998,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.84,2.90,0.9997,5.87,2.398,37579,71134,0.000,1,191.4,"-0.21,0.48,9.82","2.7,-1.2,-0.1","52.650,-84.150,9.750",0.12,0.17,97.08,388467,8497,8201,6,2.20,37.496475,126.954535,565,70,137,0,0.84,0.00,999.00,-122.0,0,0,3,0,-50,-49.9,8201,40,4,0.84,1,0,-8.82,-18.73,8201
16:29:48,1.520,889105,889104,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.73,1.70,0.9997,6.99,2.366,37579,71147,0.000,1,191.4,"-0.20,0.57,9.71","0.8,-0.4,-1.5","51.900,-83.400,10.800",0.08,0.15,97.08,388467,8498,8202,6,2.20,37.496475,126.954535,565,70,137,0,0.86,0.00,999.00,-122.0,0,0,3,0,-51,-50.1,8202,43,4,0.86,1,0,-8.82,-18.73,8202
16:29:48,1.589,889210,889210,0,0,1,37.496475,126.954535,0.00,196.1,0,191.4,0,183.3,0,0.00,9.66,3.12,0.9996,6.17,2.345,37579,71160,0.000,1,191.4,"-0.21,0.59,9.64","1.5,-1.7,2.1","51.750,-82.800,9.900",0.11,0.13,97.08,388467,8499,8203,6,2.20,37.496475,126.954535,566,70,137,0,0.86,0.00,999.00,-122.0,0,0,3,0,-50,-50.1,8203,36,4,0.86,1,0,-8.82,-18.73,8203
